nombre_canonico,num_variantes_fusionadas,variantes,num_documentos_total,ids_documentos
Brigada del Ejército González Lleras,1,Brigada del Ejército González Lleras,1,1825
Autos del Consejo,1,Autos del Consejo,1,1825
Presidente De La Sala (sustituido Por Enfermedad),1,Presidente De La Sala (sustituido Por Enfermedad),1,1824
General Cabrera,1,General Cabrera,1,1824
C/. General Cabrera,1,C/. General Cabrera,1,1824
C/. Biarritz,1,C/. Biarritz,1,1824
Cuzco,1,Cuzco,1,1824
C/. Pintos Juan Gris,1,C/. Pintos Juan Gris,1,1824
Despacho De Abogados De La C/. Pintor Juan Gris,1,Despacho De Abogados De La C/. Pintor Juan Gris,1,1824
Empresa Aseprosa,1,Empresa Aseprosa,1,1824
C/SC/6.590/27-04-82,1,C/SC/6.590/27-04-82,1,1824
27-04-82,1,27-04-82,1,1824
Julio de 1980,1,Julio de 1980,1,1824
Tcol. Más,1,Tcol. Más,1,1824
Coronel Escadell Cortes,1,Coronel Escadell Cortes,1,1823
Constitución,1,Constitución,4,1746; 1782; 1802; 1823
Ejército Francés,1,Ejército Francés,1,1823
SG/6.661/28.04.82,1,SG/6.661/28.04.82,1,1823
28.04.82,1,28.04.82,1,1823
Teniente General CABEZA CALAHORRA,1,Teniente General CABEZA CALAHORRA,1,1823
Teniente General MILANS DEL BOSCH,1,Teniente General MILANS DEL BOSCH,1,1823
Coronel ESCADELL CORTES,1,Coronel ESCADELL CORTES,1,1823
Coronel IBAÑEZ,1,Coronel IBAÑEZ,1,1823
Teniente General DE SANTIAGO Y DIAZ DE MENDIVIL,1,Teniente General DE SANTIAGO Y DIAZ DE MENDIVIL,1,1823
General CABEZA,1,General CABEZA,1,1823
Ministerio Público,1,Ministerio Público,3,1813; 1816; 1822
"23 De Febrero (fecha Mencionada, No Es Un Lugar)",1,"23 De Febrero (fecha Mencionada, No Es Un Lugar)",1,1822
"23-f (suceso, No Es Un Lugar)",1,"23-f (suceso, No Es Un Lugar)",1,1822
Servicio Geográfico,1,Servicio Geográfico,1,1822
3G/6734/29-04-82,1,3G/6734/29-04-82,1,1822
29-04-82,1,29-04-82,1,1822
abogado defensor,1,abogado defensor,2,1817; 1822
General de División D. Alfonso ARMADA Y COMIN,1,General de División D. Alfonso ARMADA Y COMIN,1,1822
operación de toma del Congreso,1,operación de toma del Congreso,1,1822
Sr. Quintana Aparicio,1,Sr. Quintana Aparicio,1,1821
General Calzada Atienza,1,General Calzada Atienza,1,1821
Teniente Nuñez Ruano,1,Teniente Nuñez Ruano,1,1821
Sala (del Consejo Supremo De Justicia Militar),1,Sala (del Consejo Supremo De Justicia Militar),1,1821
Dirección General Del Cuerpo,1,Dirección General Del Cuerpo,2,1818; 1821
Eme (estado Mayor Del Ejército),1,Eme (estado Mayor Del Ejército),1,1821
División Acorazada,1,División Acorazada,2,1787; 1821
Jujem (junta De Jefes De Estado Mayor),1,Jujem (junta De Jefes De Estado Mayor),1,1821
The Text Does Not Mention Other Explicit Locations.,1,The Text Does Not Mention Other Explicit Locations.,1,1821
30.04.82,1,30.04.82,1,1821
Sr. HERMOSILLA MARTIN,1,Sr. HERMOSILLA MARTIN,1,1821
General ARMADA COMYN,1,General ARMADA COMYN,1,1821
Sr. QUINTANA APARICIO,1,Sr. QUINTANA APARICIO,1,1821
Teniente NUÑEZ RUANO,1,Teniente NUÑEZ RUANO,1,1821
General CALZADA ATIENZA,1,General CALZADA ATIENZA,1,1821
Unidades Que Intervengan En Desfile Militar En Zaragoza,1,Unidades Que Intervengan En Desfile Militar En Zaragoza,1,1820
Organizaciones Juveniles De Fuerza Nueva,1,Organizaciones Juveniles De Fuerza Nueva,1,1820
Fe-jons,1,Fe-jons,1,1820
Militantes De Zaragoza,1,Militantes De Zaragoza,1,1820
Jme,1,Jme,1,1820
Eta,1,Eta,2,1808; 1820
Seguridad (fuerzas De Seguridad),1,Seguridad (fuerzas De Seguridad),1,1820
"S.m. (su Majestad, En Contexto De Evento)",1,"S.m. (su Majestad, En Contexto De Evento)",1,1820
Desfile Militar Previsto En Zaragoza,1,Desfile Militar Previsto En Zaragoza,1,1820
Segovia,1,Segovia,2,1696; 1820
C/DI3/7829/17-05-82,1,C/DI3/7829/17-05-82,1,1820
grupúsculos violentos de extrema derecha,1,grupúsculos violentos de extrema derecha,1,1820
ETA,1,ETA,2,1808; 1820
fuerzas de Seguridad,1,fuerzas de Seguridad,1,1820
S.M.,1,S.M.,1,1820
desfile militar previsto en Zaragoza,1,desfile militar previsto en Zaragoza,1,1820
General De División Alvarado,1,General De División Alvarado,1,1819
General Farré,1,General Farré,1,1819
Columna De La Dac,1,Columna De La Dac,1,1819
Presidio,1,Presidio,1,1819
23f,1,23f,1,1819
Ejército (mención Genérica),1,Ejército (mención Genérica),1,1819
C/SG/6886/03-05-82,1,C/SG/6886/03-05-82,1,1819
03-05-82,1,03-05-82,1,1819
General de División Alvarado,1,General de División Alvarado,1,1819
Coronel De La Guardia Civil Manchado García,1,Coronel De La Guardia Civil Manchado García,1,1818
Teniente Coronel De La Guardia Civil Tejero Molina,1,Teniente Coronel De La Guardia Civil Tejero Molina,2,1817; 1818
Hotel Palace,1,Hotel Palace,1,1818
Dac (dirección General Del Cuerpo),1,Dac (dirección General Del Cuerpo),1,1818
Parque De Automóviles De La Gc,1,Parque De Automóviles De La Gc,1,1818
6959/04-05-82,1,6959/04-05-82,1,1818
04-05-82,1,04-05-82,1,1818
general Chamorro Martín,1,general Chamorro Martín,1,1818
coronel de la Guardia Civil Manchado García,1,coronel de la Guardia Civil Manchado García,1,1818
letrado López Montero,1,letrado López Montero,1,1818
teniente coronel de la Guardia Civil Tejero Molina,1,teniente coronel de la Guardia Civil Tejero Molina,1,1818
General Segundo Jeme,1,General Segundo Jeme,1,1817
Cortes,1,Cortes,5,1694; 1699; 1700; 1747; 1817
SG/7046/05-05-82,1,SG/7046/05-05-82,1,1817
05-05-82,1,05-05-82,1,1817
Teniente Coronel de la Guardia Civil Tejero Molina,1,Teniente Coronel de la Guardia Civil Tejero Molina,1,1817
Teniente General Honorífico Orozco,1,Teniente General Honorífico Orozco,1,1817
Teniente Coronel de Infantería Más Oliver,1,Teniente Coronel de Infantería Más Oliver,1,1817
Abogado,1,Abogado,2,1803; 1816
Paseo De Las Delicias,1,Paseo De Las Delicias,1,1816
Seguridad Del Estado,1,Seguridad Del Estado,1,1816
"TCOL. Tejero (como Referencia A La Persona, No Lugar, Pero Aparece Como Institución Militar Por Implicación)",1,"TCOL. Tejero (como Referencia A La Persona, No Lugar, Pero Aparece Como Institución Militar Por Implicación)",1,1816
C/SG/7.129/06-05-82,1,C/SG/7.129/06-05-82,1,1816
06-05-82,1,06-05-82,1,1816
Comandante de Infantería Cortina Prieto,1,Comandante de Infantería Cortina Prieto,1,1816
Rogelio García Villalonga,1,Rogelio García Villalonga,1,1816
Capitán de la Guardia Civil Acera Martín,1,Capitán de la Guardia Civil Acera Martín,1,1816
Teniente de la Guardia Civil Alonso Hernaiz,1,Teniente de la Guardia Civil Alonso Hernaiz,1,1816
Dimas Sanz López,1,Dimas Sanz López,1,1816
Comandante De La Guardia Civil Pardos Aldea,1,Comandante De La Guardia Civil Pardos Aldea,1,1815
Capitán Del Cuerpo De La Guardia Civil Lázaro Corthay,1,Capitán Del Cuerpo De La Guardia Civil Lázaro Corthay,1,1815
El Comandante Defensor,1,El Comandante Defensor,1,1815
El Procesado,1,El Procesado,1,1815
El Jefe De La Guardia Civil (comandante Quintero),1,El Jefe De La Guardia Civil (comandante Quintero),1,1815
Academia De Tráfico,1,Academia De Tráfico,1,1815
Calle Cedaceros,1,Calle Cedaceros,1,1815
Academia De Tráfico De La G.c.,1,Academia De Tráfico De La G.c.,1,1815
Núcleo De Tropas Divisionarias De La Dac,1,Núcleo De Tropas Divisionarias De La Dac,1,1815
Historia De España,1,Historia De España,1,1815
C/SG/7.313/10-05-82,1,C/SG/7.313/10-05-82,1,1815
10-05-82,1,10-05-82,1,1815
Comandante de la Guardia Civil Pardos Aldea,1,Comandante de la Guardia Civil Pardos Aldea,1,1815
Capitán Lázaro Corthay,1,Capitán Lázaro Corthay,1,1815
Letrado Sr. Sanz Arribas,1,Letrado Sr. Sanz Arribas,1,1815
Capitán Bobis González,1,Capitán Bobis González,1,1815
Capitán Cid Fortea,1,Capitán Cid Fortea,1,1815
Autoridad Judicial (no Consta Explícitamente),1,Autoridad Judicial (no Consta Explícitamente),1,1814
Academia De Tráfico De La Guardia Civil,1,Academia De Tráfico De La Guardia Civil,1,1814
Domicilio Del Comandante Cortina,1,Domicilio Del Comandante Cortina,1,1814
Valdemoro,1,Valdemoro,2,1813; 1814
Parque De Automovilismo De La Guardia Civil,1,Parque De Automovilismo De La Guardia Civil,1,1814
Rampa De Salida Del Parque,1,Rampa De Salida Del Parque,1,1814
7497/12-05-82,1,7497/12-05-82,1,1814
12-05-82,1,12-05-82,1,1814
Joaquín Esquivel Giménez,1,Joaquín Esquivel Giménez,1,1814
Capitán de la Guardia Civil Gómez Iglesias,1,Capitán de la Guardia Civil Gómez Iglesias,1,1814
Jesús Gómez García,1,Jesús Gómez García,1,1814
Capitán de Infantería Alvarez-Arenas Pardiñas,1,Capitán de Infantería Alvarez-Arenas Pardiñas,1,1814
"D. Julio Ortiz Ortiz, Abogado Defensor Del Teniente De La Guardia Civil Izquierdo Sánchez",1,"D. Julio Ortiz Ortiz, Abogado Defensor Del Teniente De La Guardia Civil Izquierdo Sánchez",1,1813
Teniente De La Guardia Civil Izquierdo Sánchez,1,Teniente De La Guardia Civil Izquierdo Sánchez,1,1813
Teniente De La Guardia Civil Alvarez Fernández,1,Teniente De La Guardia Civil Alvarez Fernández,1,1813
Teniente De La Guardia Civil Ramos Rueda,1,Teniente De La Guardia Civil Ramos Rueda,1,1813
"D. Guillermo Salva Paradela, Defensor",1,"D. Guillermo Salva Paradela, Defensor",1,1813
"Teniente D. Antonio Hernández Griño, Defensor",1,"Teniente D. Antonio Hernández Griño, Defensor",1,1813
Sr. Salva Paradela,1,Sr. Salva Paradela,1,1813
1ª Comandancia Móvil De Valdemoro,1,1ª Comandancia Móvil De Valdemoro,1,1813
Art.294 Del Código De Justicia Militar,1,Art.294 Del Código De Justicia Militar,1,1813
D.g. De La Guardia Civil,1,D.g. De La Guardia Civil,1,1813
Subsector De Tráfico De La Guardia Civil,1,Subsector De Tráfico De La Guardia Civil,1,1813
17.05.82,1,17.05.82,1,1813
D. Julio Ortiz Ortiz,1,D. Julio Ortiz Ortiz,1,1813
Teniente de la Guardia Civil Izquierdo Sánchez,1,Teniente de la Guardia Civil Izquierdo Sánchez,1,1813
D. Guillermo Salva Paradela,1,D. Guillermo Salva Paradela,1,1813
Teniente de la Guardia Civil Alvarez Fernández,1,Teniente de la Guardia Civil Alvarez Fernández,1,1813
Teniente D. Antonio Hernández Griño,1,Teniente D. Antonio Hernández Griño,1,1813
Teniente de la Guardia Civil Ramos Rueda,1,Teniente de la Guardia Civil Ramos Rueda,1,1813
Teniente D. Antonio Hernández Griñó,1,Teniente D. Antonio Hernández Griñó,1,1812
Teniente De La Guardia Civil Vecinos Núñez,1,Teniente De La Guardia Civil Vecinos Núñez,1,1812
Teniente De La Guardia Civil Boza Carranco,1,Teniente De La Guardia Civil Boza Carranco,1,1812
Almería,1,Almería,1,1812
"Diario ""el País""",1,"Diario ""el País""",1,1812
Sala Del Consejo,1,Sala Del Consejo,1,1812
SG/7906/18-05-82,1,SG/7906/18-05-82,1,1812
18-05-82,1,18-05-82,1,1812
Teniente de la Guardia Civil Vecinos Núñez,1,Teniente de la Guardia Civil Vecinos Núñez,1,1812
Teniente de la Guardia Civil Boza Carranco,1,Teniente de la Guardia Civil Boza Carranco,1,1812
D. Manuel Novalvos y Pérez de Acevedo,1,D. Manuel Novalvos y Pérez de Acevedo,1,1812
Subsector de Tráfico,1,Subsector de Tráfico,1,1812
"Capitanes Acera, Gomez Iglesias, Alvarez Arenas, Dusmet, Ignacio Roman",1,"Capitanes Acera, Gomez Iglesias, Alvarez Arenas, Dusmet, Ignacio Roman",1,1811
"Tenientes Alvarez Fernandez, Nuñez Ruano, Alonso, Boza, Vecino",1,"Tenientes Alvarez Fernandez, Nuñez Ruano, Alonso, Boza, Vecino",1,1811
TCOL. Sanmartin,1,TCOL. Sanmartin,1,1811
Juz Instructor,1,Juz Instructor,1,1811
C/SG/8241/24-05-82,1,C/SG/8241/24-05-82,1,1811
artículo 783 del C.J.M.,1,artículo 783 del C.J.M.,1,1811
Capitanes ACERA,1,Capitanes ACERA,1,1811
GOMEZ IGLESIAS,1,GOMEZ IGLESIAS,1,1811
Coronel Gómez López,1,Coronel Gómez López,1,1810
General Don Ignacio Alfaro,1,General Don Ignacio Alfaro,1,1810
"Resto De Los Jefes De E.m. De Las Ff.aa,s (gabeiras, Arévalo Y Emiliano Alfaro)",1,"Resto De Los Jefes De E.m. De Las Ff.aa,s (gabeiras, Arévalo Y Emiliano Alfaro)",1,1810
Palacio De La Zarzuela,1,Palacio De La Zarzuela,4,1768; 1787; 1791; 1810
Sesión Del Congreso,1,Sesión Del Congreso,1,1810
Casa (casa Que No Se Encontraba En Palacio),1,Casa (casa Que No Se Encontraba En Palacio),1,1810
Palacio (referido En General),1,Palacio (referido En General),1,1810
E.m.f. (estado Mayor De La Fuerza),1,E.m.f. (estado Mayor De La Fuerza),1,1810
Despacho Del Secretario General,1,Despacho Del Secretario General,1,1810
Dac (división De Acción Conjunta),1,Dac (división De Acción Conjunta),1,1810
Despacho De S.m. El REY,1,Despacho De S.m. El REY,1,1810
"23 de Febrero de 1,981",1,"23 de Febrero de 1,981",1,1810
24 de Febrero,1,24 de Febrero,2,1724; 1810
Asalto al Congreso de los Diputados,1,Asalto al Congreso de los Diputados,1,1810
Palacio de la Zarzuela,1,Palacio de la Zarzuela,2,1791; 1810
Cadena SER,1,Cadena SER,1,1810
S.M. EL REY,1,S.M. EL REY,1,1810
General ARMADA,1,General ARMADA,1,1810
Teniente General GABEIRAS,1,Teniente General GABEIRAS,1,1810
General JUSTE,1,General JUSTE,1,1810
Seccion De Contrainformacion Del Eme,1,Seccion De Contrainformacion Del Eme,1,1809
Oficiales Subalternos,1,Oficiales Subalternos,1,1809
Tribunal Supremo De Justicia Militar,1,Tribunal Supremo De Justicia Militar,1,1809
Cuadros De Mando,1,Cuadros De Mando,1,1809
Región (sin Especificar),1,Región (sin Especificar),1,1809
Jefe Supremo De Las Fas,1,Jefe Supremo De Las Fas,1,1809
"Sala - 2ª, Del Tribunal Supremo De Justicia Civil",1,"Sala - 2ª, Del Tribunal Supremo De Justicia Civil",1,1809
CAPGEN-3,1,CAPGEN-3,1,1809
SECCION DE CONTRAINFORMACION DEL EME,1,SECCION DE CONTRAINFORMACION DEL EME,1,1809
NUMERO:424/5.530,1,NUMERO:424/5.530,1,1809
FECHA:07-06-82,1,FECHA:07-06-82,1,1809
RF@:120/3.975,1,RF@:120/3.975,1,1809
SECCION DE CONTRAINTELIGENCIA,1,SECCION DE CONTRAINTELIGENCIA,1,1809
Teniente General MILANS,1,Teniente General MILANS,1,1809
Coronel IBAÑEZ INGLES,1,Coronel IBAÑEZ INGLES,1,1809
S2,1,S2,1,1808
El Gobierno,1,El Gobierno,1,1808
Fraga,1,Fraga,1,1808
Carrillo,1,Carrillo,2,1694; 1808
Los Segundos De Fraga Y Carrillo,1,Los Segundos De Fraga Y Carrillo,1,1808
Los Militantes Disidentes,1,Los Militantes Disidentes,1,1808
Los Miembros De Eta,1,Los Miembros De Eta,1,1808
La Mayoría (opinión General),1,La Mayoría (opinión General),1,1808
04 JUN. 1982,1,04 JUN. 1982,1,1808
NOTA INTERIOR REF. 1.541,1,NOTA INTERIOR REF. 1.541,1,1808
SENTENCIA 23-F,1,SENTENCIA 23-F,1,1808
JUICIO 2/81,1,JUICIO 2/81,1,1808
GOBIERNO,1,GOBIERNO,1,1808
FRAGA,1,FRAGA,1,1808
CARRILLO,1,CARRILLO,1,1808
La Oposición,1,La Oposición,1,1807
M.c.s.,1,M.c.s.,1,1807
Primo De Rivera,1,Primo De Rivera,1,1807
Fas,1,Fas,2,1785; 1807
JUJEM,1,JUJEM,2,1803; 1807
Mando Militar,1,Mando Militar,2,1792; 1807
Sentencia,1,Sentencia,1,1807
artículo 89,1,artículo 89,1,1807
ejecutivo,1,ejecutivo,1,1807
oposición,1,oposición,1,1807
M.C.S.,1,M.C.S.,1,1807
poder institucional,1,poder institucional,1,1807
El Presidente De La Junta,1,El Presidente De La Junta,1,1806
"Las ""fas""",1,"Las ""fas""",1,1806
"El ""consejo Supremo De Justicia Militar""",1,"El ""consejo Supremo De Justicia Militar""",1,1806
"El ""tribunal Supremo De Justicia""",1,"El ""tribunal Supremo De Justicia""",1,1806
Cuartel General De La Jujem (gobierno),1,Cuartel General De La Jujem (gobierno),1,1806
Tribunal Supremo De Justicia,1,Tribunal Supremo De Justicia,1,1806
2/5G,1,2/5G,1,1806
ZCZC NR 971,1,ZCZC NR 971,1,1806
R-981915Z JUN 82,1,R-981915Z JUN 82,1,1806
08 JUN. 1982,1,08 JUN. 1982,1,1806
CUARTEL GENERAL DE LA JUJEM (GOBIERNO),1,CUARTEL GENERAL DE LA JUJEM (GOBIERNO),1,1806
ORDEN GENERAL EXTRAORDINARIA NUMERO 2/82,1,ORDEN GENERAL EXTRAORDINARIA NUMERO 2/82,1,1806
23 DE FEBRERO DE 1.981,1,23 DE FEBRERO DE 1.981,1,1806
CORONA,1,CORONA,1,1806
ESTADO DE DERECHO,1,ESTADO DE DERECHO,1,1806
Pilar Urbano -abc-,1,Pilar Urbano -abc-,1,1805
Representante De La Sec. De E. Para La Información,1,Representante De La Sec. De E. Para La Información,1,1805
Sr. Abella,1,Sr. Abella,1,1805
General Pastrana,1,General Pastrana,1,1805
General Martínez García,1,General Martínez García,1,1805
Campamento,1,Campamento,1,1805
Crisde,1,Crisde,1,1805
Sala (del Tribunal),1,Sala (del Tribunal),1,1805
28-IV-82,1,28-IV-82,1,1805
General Milans del Bosch,1,General Milans del Bosch,1,1805
TTe. Gral. Cabeza Calahorra,1,TTe. Gral. Cabeza Calahorra,1,1805
Pilar Urbano,1,Pilar Urbano,1,1805
ABC,1,ABC,1,1805
Pte. de la Sala,1,Pte. de la Sala,1,1805
CRISDE,1,CRISDE,1,1805
General Gómez de Salazar,1,General Gómez de Salazar,1,1805
Mandos Del Ejército,1,Mandos Del Ejército,1,1804
Medios De Comunicación,1,Medios De Comunicación,1,1804
Oidrep De Defensa,1,Oidrep De Defensa,1,1804
Cuadros De Mandos Del Ejército,1,Cuadros De Mandos Del Ejército,1,1804
Grupos Exhumidos,1,Grupos Exhumidos,1,1804
Militares,1,Militares,1,1804
Ejecutados,1,Ejecutados,1,1804
Mandos,1,Mandos,2,1785; 1804
Fidrep De Defensa,1,Fidrep De Defensa,1,1804
Ejército (los Miembros De Los Fas),1,Ejército (los Miembros De Los Fas),1,1804
23 De Febrero,1,23 De Febrero,2,1796; 1804
"23 De Febrero (fecha Mencionada, No Lugar Geográfico)",1,"23 De Febrero (fecha Mencionada, No Lugar Geográfico)",1,1804
"Fac (mencionado Como Grupo O Institución, Posiblemente Fuerzas Armadas Canarias, Pero Solo Se Extrae Tal Cual Del Texto)",1,"Fac (mencionado Como Grupo O Institución, Posiblemente Fuerzas Armadas Canarias, Pero Solo Se Extrae Tal Cual Del Texto)",1,1804
"Amartelamientos (mencionado Como Lugar O Tipo De Lugar, Literal Del Texto)",1,"Amartelamientos (mencionado Como Lugar O Tipo De Lugar, Literal Del Texto)",1,1804
"Uniformes Militares (mencionados, Pero No Como Lugar O Institución)",1,"Uniformes Militares (mencionados, Pero No Como Lugar O Institución)",1,1804
Mandos del Ejército,1,Mandos del Ejército,1,1804
vista de la causa 2/81,1,vista de la causa 2/81,1,1804
23 de Febrero,1,23 de Febrero,3,1704; 1724; 1804
grupos exhumidos,1,grupos exhumidos,1,1804
campaña propagandística,1,campaña propagandística,1,1804
carta anónima,1,carta anónima,1,1804
OIDREP de Defensa,1,OIDREP de Defensa,1,1804
El Mando,1,El Mando,1,1803
La Autoridad Gubernativa,1,La Autoridad Gubernativa,1,1803
El Ministro Del Interior,1,El Ministro Del Interior,1,1803
Representantes De Partidos Nacionalistas (jordi Pujol,1,Representantes De Partidos Nacionalistas (jordi Pujol,1,1803
Trias Fargas,1,Trias Fargas,1,1803
Roca,1,Roca,1,1803
Rojas Marcos,1,Rojas Marcos,1,1803
Añoeta,1,Añoeta,1,1803
Proceso (dinámica Del Proceso),1,Proceso (dinámica Del Proceso),1,1803
Ministro Del Interior (institución Gubernativa),1,Ministro Del Interior (institución Gubernativa),1,1803
Sevilla,1,Sevilla,1,1803
Lugar O Institución No Mencionada Explícitamente En El Texto,1,Lugar O Institución No Mencionada Explícitamente En El Texto,1,1803
Otros Lugares No Mencionados Explícitamente En El Texto,1,Otros Lugares No Mencionados Explícitamente En El Texto,1,1803
Centro De Investigaciones - Sociológicas (cis),1,Centro De Investigaciones - Sociológicas (cis),1,1803
ARAP/08.03.82,1,ARAP/08.03.82,1,1803
Lista de oficiales con implicación política,1,Lista de oficiales con implicación política,1,1803
Mando,1,Mando,2,1795; 1803
Quema de una bandera española en Anoeta,1,Quema de una bandera española en Anoeta,1,1803
Proceso,1,Proceso,1,1803
Autoridad gubernativa,1,Autoridad gubernativa,1,1803
Sanción ejemplar,1,Sanción ejemplar,1,1803
Ikurriña,1,Ikurriña,1,1803
C.s.j.m.,1,C.s.j.m.,2,1800; 1802
Medios Jurídicos,1,Medios Jurídicos,1,1802
Capitán De La Guardia Civil D. Francisco Ignacio Román,1,Capitán De La Guardia Civil D. Francisco Ignacio Román,1,1802
Este Procesado,1,Este Procesado,1,1802
Todos Los Tenientes De La Guardia Civil Encausados,1,Todos Los Tenientes De La Guardia Civil Encausados,1,1802
Tenientes De La D.a.c.,1,Tenientes De La D.a.c.,1,1802
Tribunal Supremo,1,Tribunal Supremo,2,1786; 1802
C.j.m.,1,C.j.m.,1,1802
Ley 16/80 De 22 De Abril,1,Ley 16/80 De 22 De Abril,1,1802
"L.o. Nº 9/80, De 6 De Noviembre",1,"L.o. Nº 9/80, De 6 De Noviembre",1,1802
Ley De Enjuiciamiento Criminal,1,Ley De Enjuiciamiento Criminal,1,1802
C.s.j.m. (consejo Superior De Justicia Militar),1,C.s.j.m. (consejo Superior De Justicia Militar),1,1802
ARAP./19-04-82,1,ARAP./19-04-82,1,1802
C.S.J.M.,1,C.S.J.M.,2,1800; 1802
Capitán de la Guardia Civil,1,Capitán de la Guardia Civil,2,1707; 1802
D. Francisco Ignacio Román,1,D. Francisco Ignacio Román,1,1802
libertad provisional,1,libertad provisional,1,1802
sin fianza,1,sin fianza,1,1802
pena,1,pena,1,1802
un año y seis meses,1,un año y seis meses,1,1802
El Capitán General De Cada Región,1,El Capitán General De Cada Región,1,1801
Generales A Sus Órdenes,1,Generales A Sus Órdenes,1,1801
Sectores Sociales,1,Sectores Sociales,1,1801
Militares De Las Fas,1,Militares De Las Fas,1,1801
Sectores Interesados En Hacer Triunfar El Golpe,1,Sectores Interesados En Hacer Triunfar El Golpe,1,1801
Inferiores En La Cadena De Mando,1,Inferiores En La Cadena De Mando,1,1801
Ejército Español En General,1,Ejército Español En General,1,1801
(la Última Línea Queda Inconclusa Y No Proporciona Más Lugares),1,(la Última Línea Queda Inconclusa Y No Proporciona Más Lugares),1,1801
Unidad,1,Unidad,2,1796; 1801
Centro,1,Centro,4,1711; 1795; 1798; 1801
Brigada Xi,1,Brigada Xi,1,1801
Ejército Del Fuera,1,Ejército Del Fuera,1,1801
Presidente Calvo Sotelo,1,Presidente Calvo Sotelo,3,1743; 1769; 1801
"Ministerio (implícito En ""ministerio"", Pero No Está Explícitamente Mencionado)",1,"Ministerio (implícito En ""ministerio"", Pero No Está Explícitamente Mencionado)",1,1801
25 de Febrero de 1982,1,25 de Febrero de 1982,1,1801
cuarteles,1,cuarteles,1,1801
milicia,1,milicia,1,1801
línea de mando,1,línea de mando,1,1801
Región,1,Región,2,1800; 1801
Generales,1,Generales,1,1801
militares,1,militares,3,1778; 1783; 1801
Jewe,1,Jewe,1,1800
"Militares Representantes De Cada Organismo De La Administración Central, Región O Zona",1,"Militares Representantes De Cada Organismo De La Administración Central, Región O Zona",1,1800
Administración Central,1,Administración Central,1,1800
Zona,1,Zona,1,1800
N/ RFa:C/DI3/,1,N/ RFa:C/DI3/,1,1800
vista causa 2/81,1,vista causa 2/81,1,1800
comisiones militares asistentes,1,comisiones militares asistentes,1,1800
defensores,1,defensores,2,1798; 1800
militares representantes,1,militares representantes,1,1800
Inculpados,1,Inculpados,1,1799
Familiares De Los Inculpados,1,Familiares De Los Inculpados,1,1799
Militares Que Asisten Al Consejo De Guerra,1,Militares Que Asisten Al Consejo De Guerra,1,1799
Personal De La 3ª Región Militar,1,Personal De La 3ª Región Militar,1,1799
ARAP/ 10.03.82,1,ARAP/ 10.03.82,1,1799
notas informativas,1,notas informativas,1,1799
miembros,1,miembros,1,1799
comisiones militares,1,comisiones militares,1,1799
inculpados,1,inculpados,1,1799
familiares,1,familiares,1,1799
comisiones,1,comisiones,1,1799
juicio,1,juicio,1,1799
Jefes,1,Jefes,1,1799
Oficiales,1,Oficiales,1,1799
J. L. Cotterell,1,J. L. Cotterell,1,1798
Miembros Del Servicio,1,Miembros Del Servicio,2,1705; 1798
Henares,1,Henares,1,1798
Sumario (en Contexto Judicial),1,Sumario (en Contexto Judicial),1,1798
Cesd,1,Cesd,1,1798
Servicio,1,Servicio,1,1798
Ihns Sr. Don.,1,Ihns Sr. Don.,1,1798
Emilio Manglaro,1,Emilio Manglaro,1,1798
JOSE CORTINA PRIETO,1,JOSE CORTINA PRIETO,1,1798
Alcalde de Henares,1,Alcalde de Henares,1,1798
3 de Octubre,1,3 de Octubre,1,1798
Fluo de Don Emilio Manglano,1,Fluo de Don Emilio Manglano,1,1798
procedimiento,1,procedimiento,1,1798
J,1,J,1,1797
F,1,F,1,1797
R,1,R,1,1797
D,1,D,1,1797
V,1,V,1,1797
P,1,P,1,1797
L,1,L,1,1797
M,1,M,1,1797
El Coronel Director Acctal. Valin Carreño,1,El Coronel Director Acctal. Valin Carreño,1,1797
No Se Mencionan Lugares En El Texto Proporcionado.,1,No Se Mencionan Lugares En El Texto Proporcionado.,2,1702; 1797
Aome,1,Aome,1,1797
Ciudad De Valencia,1,Ciudad De Valencia,1,1797
Aome (aeródromo De Observación Y Mando De España),1,Aome (aeródromo De Observación Y Mando De España),1,1797
S-11 (sección 11),1,S-11 (sección 11),1,1797
Sea (servicio De Enseñanza Aérea),1,Sea (servicio De Enseñanza Aérea),1,1797
Agrupación (de La Guardia Civil),1,Agrupación (de La Guardia Civil),1,1797
INFORME INTERNO,1,INFORME INTERNO,1,1797
HECHOS,1,HECHOS,1,1797
23-F,1,23-F,10,1735; 1778; 1779; 1780; 1782; 1783; 1784; 1787; 1788; 1797
10-04-81,1,10-04-81,1,1797
Orden de investigación,1,Orden de investigación,1,1797
Clave de iniciales empleada,1,Clave de iniciales empleada,1,1797
Declaraciones,1,Declaraciones,1,1797
Capitán Garcia Almenta,1,Capitán Garcia Almenta,1,1796
Sargento Miguel Sales,1,Sargento Miguel Sales,1,1796
Cabo Rafael Monge,1,Cabo Rafael Monge,1,1796
Cabo José Moya Gómez,1,Cabo José Moya Gómez,1,1796
Sargento Sales Maroto,1,Sargento Sales Maroto,1,1796
Juez Instructor,1,Juez Instructor,1,1796
Aome (CESID),1,Aome (CESID),1,1796
Las Cortes,1,Las Cortes,2,1699; 1796
El Congreso,1,El Congreso,1,1796
Dirección Del Centro,1,Dirección Del Centro,2,1705; 1796
La Casa,1,La Casa,1,1796
